,Full,Sparse,Extremes
0,20.3610782623291,3084.7607421875,1245.0885009765625
1,12.72101879119873,691.6898193359375,279.5557556152344
2,10.020491600036621,83.07138061523438,125.25715637207031
3,9.782914161682129,63.39086151123047,99.46723175048828
4,9.485457420349121,61.8648681640625,86.2719955444336
5,9.167791366577148,60.68918228149414,80.06552124023438
6,9.676446914672852,60.89204025268555,77.29216003417969
7,9.078408241271973,59.996097564697266,75.18367767333984
8,9.0079345703125,59.44356155395508,71.50952911376953
9,8.584746360778809,58.973304748535156,70.06973266601562
10,8.554402351379395,58.79226303100586,68.30828857421875
11,5.32244348526001,58.259029388427734,68.22742462158203
12,5.001595973968506,58.02901077270508,69.39350128173828
13,4.5456976890563965,58.28355407714844,65.12825012207031
14,4.607577323913574,57.33597946166992,64.11219787597656
15,4.446170806884766,57.47343444824219,63.908660888671875
16,4.293510913848877,56.71795654296875,62.79729080200195
17,4.576888561248779,56.48759841918945,63.257049560546875
18,4.558496475219727,55.80261993408203,60.985145568847656
19,5.345168590545654,55.7163200378418,60.01649475097656
