K,S,q,r,sigma,t,price
50.0,90.0,0.01,0.0991,0.7066863283197075,0.5,1.563860715776298
50.0,90.0,0.01,0.0991,0.7066863283197075,0.75,2.7849404813779093
50.0,90.0,0.01,0.0991,0.7066863283197075,1.0,3.895301328393922
50.0,90.0,0.01,0.14365,0.001,0.25,0.0
50.0,90.0,0.01,0.14365,0.001,0.5,0.0
50.0,90.0,0.01,0.14365,0.001,0.75,0.0
50.0,90.0,0.01,0.14365,0.001,1.0,0.0
50.0,90.0,0.01,0.14365,0.1611177812950031,0.25,4.15047846503413e-15
50.0,90.0,0.01,0.14365,0.1611177812950031,0.5,5.534017727454533e-09
50.0,90.0,0.01,0.14365,0.1611177812950031,0.75,6.810125335565148e-07
50.0,90.0,0.01,0.14365,0.1611177812950031,1.0,7.724672146340262e-06
50.0,90.0,0.01,0.14365,0.26330071698522917,0.25,2.0141708324841947e-06
50.0,90.0,0.01,0.14365,0.26330071698522917,0.5,0.0006569568769893694
50.0,90.0,0.01,0.14365,0.26330071698522917,0.75,0.005161004366257759
50.0,90.0,0.01,0.14365,0.26330071698522917,1.0,0.015092883580324748
50.0,90.0,0.01,0.14365,0.38590108597281136,0.25,0.0021789354204887848
50.0,90.0,0.01,0.14365,0.38590108597281136,0.5,0.04770429660329946
50.0,90.0,0.01,0.14365,0.38590108597281136,0.75,0.15163004442212175
50.0,90.0,0.01,0.14365,0.38590108597281136,1.0,0.28266721876371637
50.0,90.0,0.01,0.14365,0.7066863283197075,0.25,0.36429435110890096
50.0,90.0,0.01,0.14365,0.7066863283197075,0.5,1.406939946427947
50.0,90.0,0.01,0.14365,0.7066863283197075,0.75,2.457645794976017
50.0,90.0,0.01,0.14365,0.7066863283197075,1.0,3.3773802555925223
50.0,90.0,0.01,0.1882,0.001,0.25,0.0
50.0,90.0,0.01,0.1882,0.001,0.5,0.0
50.0,90.0,0.01,0.1882,0.001,0.75,0.0
50.0,90.0,0.01,0.1882,0.001,1.0,0.0
50.0,90.0,0.01,0.1882,0.1611177812950031,0.25,1.3607797425470937e-15
50.0,90.0,0.01,0.1882,0.1611177812950031,0.5,1.6408983951300568e-09
50.0,90.0,0.01,0.1882,0.1611177812950031,0.75,1.833680932378724e-07
50.0,90.0,0.01,0.1882,0.1611177812950031,1.0,1.8944981256923826e-06
50.0,90.0,0.01,0.1882,0.26330071698522917,0.25,1.2969314488034103e-06
50.0,90.0,0.01,0.1882,0.26330071698522917,0.5,0.00040035754906388166
50.0,90.0,0.01,0.1882,0.26330071698522917,0.75,0.0029893645391346852
50.0,90.0,0.01,0.1882,0.26330071698522917,1.0,0.008332698059696112
50.0,90.0,0.01,0.1882,0.38590108597281136,0.25,0.0017448371673083284
50.0,90.0,0.01,0.1882,0.38590108597281136,0.5,0.036784745787433175
50.0,90.0,0.01,0.1882,0.38590108597281136,0.75,0.11304123542883392
50.0,90.0,0.01,0.1882,0.38590108597281136,1.0,0.20424031209250237
50.0,90.0,0.01,0.1882,0.7066863283197075,0.25,0.33484288391838246
