K,S,q,r,sigma,t,price
50.0,0.0,0.0991,0.14365,0.26330071698522917,0.75,44.89316273016399
50.0,0.0,0.0991,0.14365,0.26330071698522917,1.0,43.30954309064192
50.0,0.0,0.0991,0.14365,0.38590108597281136,0.25,48.23623516008371
50.0,0.0,0.0991,0.14365,0.38590108597281136,0.5,46.53468764837791
50.0,0.0,0.0991,0.14365,0.38590108597281136,0.75,44.89316273016399
50.0,0.0,0.0991,0.14365,0.38590108597281136,1.0,43.30954309064192
50.0,0.0,0.0991,0.14365,0.7066863283197075,0.25,48.23623516008371
50.0,0.0,0.0991,0.14365,0.7066863283197075,0.5,46.53468764837791
50.0,0.0,0.0991,0.14365,0.7066863283197075,0.75,44.89316273016399
50.0,0.0,0.0991,0.14365,0.7066863283197075,1.0,43.30954309064192
50.0,0.0,0.0991,0.1882,0.001,0.25,47.70198472065405
50.0,0.0,0.0991,0.1882,0.001,0.5,45.509586925790245
50.0,0.0,0.0991,0.1882,0.001,0.75,43.41795240354647
50.0,0.0,0.0991,0.1882,0.001,1.0,41.422450043121174
50.0,0.0,0.0991,0.1882,0.1611177812950031,0.25,47.70198472065405
50.0,0.0,0.0991,0.1882,0.1611177812950031,0.5,45.509586925790245
50.0,0.0,0.0991,0.1882,0.1611177812950031,0.75,43.41795240354647
50.0,0.0,0.0991,0.1882,0.1611177812950031,1.0,41.422450043121174
50.0,0.0,0.0991,0.1882,0.26330071698522917,0.25,47.70198472065405
50.0,0.0,0.0991,0.1882,0.26330071698522917,0.5,45.509586925790245
50.0,0.0,0.0991,0.1882,0.26330071698522917,0.75,43.41795240354647
50.0,0.0,0.0991,0.1882,0.26330071698522917,1.0,41.422450043121174
50.0,0.0,0.0991,0.1882,0.38590108597281136,0.25,47.70198472065405
50.0,0.0,0.0991,0.1882,0.38590108597281136,0.5,45.509586925790245
50.0,0.0,0.0991,0.1882,0.38590108597281136,0.75,43.41795240354647
50.0,0.0,0.0991,0.1882,0.38590108597281136,1.0,41.422450043121174
50.0,0.0,0.0991,0.1882,0.7066863283197075,0.25,47.70198472065405
50.0,0.0,0.0991,0.1882,0.7066863283197075,0.5,45.509586925790245
50.0,0.0,0.0991,0.1882,0.7066863283197075,0.75,43.41795240354647
50.0,0.0,0.0991,0.1882,0.7066863283197075,1.0,41.422450043121174
50.0,0.0,0.14365,0.01,0.001,0.25,49.875156119873004
50.0,0.0,0.14365,0.01,0.001,0.5,49.75062395963412
